CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Rondônia,,,,,
Serviços domésticos,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,258.82026759669
2011,258.82026759669,1.04867666030406,271.41877384229997,1.049861816271277,284.9522068762
2012,284.9522068762,0.9645207874196519,274.8423269532,1.0290077450857764,282.81488311224
2013,282.81488311224,1.1102071845501862,313.98311512892997,1.137001119526241,356.99915341393
2014,356.99915341393,0.8792543453607304,313.89305692930003,0.9965121119424232,312.79823308468
2015,312.79823308468,1.08050519411717,337.98011555867,1.0209771829290333,345.06998626911997
2016,345.06998626911997,1.1036629705534349,380.84096609461,1.0726604398065087,408.51303818738
2017,408.51303818738,1.1243272486218752,459.30234025138003,1.0390635889078426,477.24433805536995
2018,477.24433805536995,0.8974199885579363,428.28860839699,1.0276656355555855,440.13748494951
2019,440.13748494951,0.985922462843421,433.94143315113,1.0254840077578362,445
2020,445,0.8581597881608539,381.88110573158,1.0165226791834394,388.1908047278
2021,388.1908047278,1.111819751473576,431.59820403679004,1.0596691251536459,457.35129128955003
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Rondônia,,,,,
Serviços domésticos,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,
2011,,,0,0,
2012,,,0,0,0
2013,0,0,0,0,0
2014,0,0,0,0,0
2015,0,0,0,0,0
2016,0,0,0,0,0
2017,0,0,0,0,0
2018,0,0,0,0,0
2019,0,0,0,0,0
2020,0,0,0,0,0
2021,0,0,0,0,0
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Rondônia,,,,,
Serviços domésticos,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,258.82026759669
2011,258.82026759669,1.04867666030406,271.41877384229997,1.049861816271277,284.9522068762
2012,284.9522068762,0.9645207874196519,274.8423269532,1.0290077450857764,282.81488311224
2013,282.81488311224,1.1102071845501862,313.98311512892997,1.137001119526241,356.99915341393
2014,356.99915341393,0.8792543453607304,313.89305692930003,0.9965121119424232,312.79823308468
2015,312.79823308468,1.08050519411717,337.98011555867,1.0209771829290333,345.06998626911997
2016,345.06998626911997,1.1036629705534349,380.84096609461,1.0726604398065087,408.51303818738
2017,408.51303818738,1.1243272486218752,459.30234025138003,1.0390635889078426,477.24433805536995
2018,477.24433805536995,0.8974199885579363,428.28860839699,1.0276656355555855,440.13748494951
2019,440.13748494951,0.985922462843421,433.94143315113,1.0254840077578362,445
2020,445,0.8581597881608539,381.88110573158,1.0165226791834394,388.1908047278
2021,388.1908047278,1.111819751473576,431.59820403679004,1.0596691251536459,457.35129128955003
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
