CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Rondônia,,,,,
Atividades imobiliárias,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,1849.0751691037099
2011,1849.0751691037099,1.0509150642267802,1943.22095009877,1.0697141866064763,2078.69101803157
2012,2078.69101803157,1.035596281004018,2152.68468762995,1.205198574305483,2594.41251646086
2013,2594.41251646086,1.0830983072736777,2810.0038049484,0.8574997797607847,2409.57764387022
2014,2409.57764387022,1.030792296999887,2483.7740743245604,1.2509479918267445,3107.07219042764
2015,3107.07219042764,1.0035842216784339,3118.20862592903,1.1250964056419612,3508.28531707451
2016,3508.28531707451,1.0233222538752291,3590.1064379060604,1.0643003970487797,3820.9517073108
2017,3820.9517073108,1.0260230434408373,3920.38449957549,1.0138625109666908,3974.7308726945
2018,3974.7308726945,1.0240876738236357,4070.4728934927,1.150510179176637,4683.120498025931
2019,4683.120498025931,1.0256002236924113,4803.009430353911,0.9509123509592781,4567.2409890974195
2020,4567.2409890974195,1.0149267499043515,4635.41505309458,1.0451043755162208,4844.4925543229
2021,4844.4925543229,1.049393100128586,5083.77706013076,1.0541730960206968,5359.18100295704
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Rondônia,,,,,
Atividades imobiliárias,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,105.49929917026
2011,105.49929917026,1.291432011549108,136.24517214447002,1.0896840283470988,148.46418802523
2012,148.46418802523,1.035374060564205,153.71596920405,1.2196034735013765,187.47252997389
2013,187.47252997389,1.1198139968650251,209.93436309246002,0.8601138083479639,180.56744454256
2014,180.56744454256,1.109774588983885,200.38916155109,1.0692673699427158,214.26959173676
2015,214.26959173676,0.9898979835791667,212.10503680255,1.2097083714349837,256.58523864357
2016,256.58523864357,0.9678077104587677,248.32517234915,1.1406151600413437,283.24345620132
2017,283.24345620132,1.0597120712909207,300.15650965069995,0.8994038354968605,269.96191602919
2018,269.96191602919,1.0101362473043942,272.69831677283,1.0707520814728122,291.99229029864
2019,291.99229029864,1.0151369456587005,296.41216172965,0.9455799800264523,280.28140596792
2020,280.28140596792,1.0046053955679377,281.57221271274,1.0414081457288005,293.23159592993
2021,293.23159592993,1.0417795825756018,305.48268960586,1.060666186519966,324.01515943211
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Rondônia,,,,,
Atividades imobiliárias,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,1743.57586993345
2011,1743.57586993345,1.0363620012837582,1806.9757779543,1.0682084693971794,1930.22683000634
2012,1930.22683000634,1.0356133731802568,1998.9687184259,1.2040908716082008,2406.93998648697
2013,2406.93998648697,1.0802385836178867,2600.0694418559397,0.8572887183107631,2229.0101993276603
2014,2229.0101993276603,1.024394107062503,2283.3849127734698,1.266892227634627,2892.8025986908797
2015,2892.8025986908797,1.0045979599304908,2906.10358912648,1.1189209120409709,3251.7000784309403
2016,3251.7000784309403,1.0277027969841048,3341.78126555691,1.0586295062372726,3537.70825110948
2017,3537.70825110948,1.0233257614698528,3620.22798992479,1.0233523874672534,3704.76895666531
2018,3704.76895666531,1.0251042969595263,3797.7745767198703,1.1562371907602527,4391.12820772729
2019,4391.12820772729,1.0262959894210726,4506.59726862426,0.9512630766845049,4286.9595831295
2020,4286.9595831295,1.015601560022993,4353.84284038184,1.0453434185037824,4551.26095839297
2021,4551.26095839297,1.04988362878056,4778.294370524901,1.0537579841427418,5035.16584352493
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
