CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Rondônia,,,,,
"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,919.53577548586
2011,919.53577548586,1.0714736064528472,985.25831362225,1.0340020078518457,1018.75907453813
2012,1018.75907453813,1.1476913127787098,1169.22093966189,1.7318262212206428,2024.8874817067
2013,2024.8874817067,1.2054726728317022,2440.9465247564303,1.0950620389935186,2672.98787847392
2014,2672.98787847392,1.7112830553832348,4574.2388636772,0.9341131259323631,4272.85656371081
2015,4272.85656371081,1.3102931771776563,5598.694802489041,0.9569448478903164,5357.6421461521795
2016,5357.6421461521795,0.9209448082961812,4934.09271920766,1.109281748860327,5473.29900060168
2017,5473.29900060168,1.3252392958015102,7253.43091326848,1.395015408954752,10118.64789179827
2018,10118.64789179827,1.054984736734665,10675.01908223957,0.8249237404247641,8806.076670426799
2019,8806.076670426799,1.0613914647524831,9346.69461594697,0.8588557158751013,8027.46209544509
2020,8027.46209544509,0.925746790159767,7431.39726798749,1.1103868738531852,8251.72598076173
2021,8251.72598076173,1.034195182287179,8533.895254857729,1.0480667103592576,8944.09152630922
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Rondônia,,,,,
"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,620.00817376166
2011,620.00817376166,1.0607811022963167,657.69295399562,1.2271154045549721,807.06515531529
2012,807.06515531529,1.1842875754879494,955.79723604915,1.9022669128566443,1818.18145753613
2013,1818.18145753613,1.2339389615516954,2243.52493962468,0.9680863642252499,2171.9259018499297
2014,2171.9259018499297,1.7648345696745962,3833.08991435643,0.967926666803275,3710.14994436027
2015,3710.14994436027,1.3036193601245716,4836.62329643315,0.8017292032629495,3877.66214193237
2016,3877.66214193237,0.8718392818322366,3380.69817701037,0.8991620752283637,3039.79558856139
2017,3039.79558856139,1.3290963501946396,4040.18122209471,1.4010679476435215,5660.56841294813
2018,5660.56841294813,1.0430444821180986,5904.22464877755,0.9194223147760897,5428.4758935371
2019,5428.4758935371,1.0629092821624053,5769.97741523544,0.7990346920657271,4610.41212720885
2020,4610.41212720885,0.9221891278268952,4251.67193851327,0.964289840441405,4099.84405519816
2021,4099.84405519816,1.0744727417135826,4405.1706825869,1.1038213955698204,4862.52165057633
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Rondônia,,,,,
"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,299.5276017242
2011,299.5276017242,1.0936065916497626,327.56535962662997,0.646264670550439,211.69391922284007
2012,211.69391922284007,1.0081711576612604,213.42370361274004,0.9685242110953185,206.70602417057015
2013,206.70602417057015,0.9550838487844037,197.4215851317501,2.5380303591909885,501.06197662399006
2014,501.06197662399006,1.4791562399414468,741.1489493207703,0.7592355354024795,562.7066193505401
2015,562.7066193505401,1.354296323962656,762.07150605589,1.9420487348745832,1479.9800042198096
2016,1479.9800042198096,1.04960508774994,1553.3945421972899,1.5665713673733386,2433.5034120402897
2017,2433.5034120402897,1.3204212803957929,3213.2496911737703,1.387405246189145,4458.07947885014
2018,4458.07947885014,1.070145666109241,4770.794433462021,0.7079744943943597,3377.6007768897
2019,3377.6007768897,1.0589520304425049,3576.7172007115296,0.9553592796088195,3417.0499682362406
2020,3417.0499682362406,0.9305469217693298,3179.72532947422,1.3057360291714568,4151.88192556357
2021,4151.88192556357,0.9944224441571525,4128.72457227083,0.9885788708564772,4081.569875732889
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
