CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Rondônia,,,,,
Indústrias de transformação,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,5199.68553717482
2011,5199.68553717482,1.1197475238450454,5822.3350050244,1.219102623642951,7098.02388035344
2012,7098.02388035344,1.1340518783315,8049.527313956661,0.934061236510921,7518.7514362027905
2013,7518.7514362027905,1.0424934711483929,7838.249283429011,1.2328224172576518,9663.16942866501
2014,9663.16942866501,1.0374834952883414,10025.378794414819,0.9465784434572448,9489.807454286449
2015,9489.807454286449,0.9526398883701468,9040.36911390563,1.0916098749543919,9868.556197972071
2016,9868.556197972071,0.969691015705535,9569.450283158689,1.1715104357792767,11210.710871391359
2017,11210.710871391359,1.0349668251506443,11602.713838245729,0.9224104143784276,10702.46407945056
2018,10702.46407945056,1.126961280320023,12061.26262155666,1.0065393271759655,12140.13516399426
2019,12140.13516399426,1.0056206909888177,12208.37111231355,1.0604574093816794,12946.457602534161
2020,12946.457602534161,0.9851146385405689,12753.744901501239,1.164117343489577,14846.85563427936
2021,14846.85563427936,1.0251289338915983,15219.94128801127,1.1282946284019637,17172.57799985638
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Rondônia,,,,,
Indústrias de transformação,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,3471.24746074191
2011,3471.24746074191,1.1320496681021643,3929.6245358333604,1.4395339966829246,5656.82811353148
2012,5656.82811353148,1.14343953419968,6468.24090318409,0.8888790181316608,5749.48362306132
2013,5749.48362306132,1.04468989001274,6006.42741380598,1.2826043203454354,7703.86975078881
2014,7703.86975078881,1.041124228554447,8020.685451173939,0.9668846575638789,7755.077705885899
2015,7755.077705885899,0.9579622817197796,7429.07193404465,1.0740517466652832,7979.20768686269
2016,7979.20768686269,0.9697272575960215,7737.65518797045,1.139521556319576,8817.224882060329
2017,8817.224882060329,1.0417028750869388,9184.92850993034,0.941340549211488,8646.14564800608
2018,8646.14564800608,1.1324448605869915,9791.28320297107,1.0134260116718543,9922.74108553659
2019,9922.74108553659,1.0073662346264098,9995.83432450977,1.0998288934741682,10993.70740447669
2020,10993.70740447669,0.988946408501308,10872.18745377146,1.171579102191157,12737.62761594353
2021,12737.62761594353,1.0287129158699508,13103.362046062879,1.153946735319976,15120.58185476994
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Rondônia,,,,,
Indústrias de transformação,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,1728.43807643291
2011,1728.43807643291,1.0950409476613412,1892.7104691910395,0.7614454457146527,1441.1957668219604
2012,1441.1957668219604,1.0972044514532053,1581.2864107725707,1.1188787819134278,1769.26781314147
2013,1769.26781314147,1.0353559003430302,1831.8218696230306,1.0695907229666406,1959.2996778762006
2014,1959.2996778762006,1.0231683115539958,2004.69334324088,0.8653342189464777,1734.7297484005499
2015,1734.7297484005499,0.9288462259591865,1611.2971798609801,1.1725636553726175,1889.3485111093808
2016,1889.3485111093808,0.9695379568233562,1831.7950951882392,1.3066341293402526,2393.48598933103
2017,2393.48598933103,1.0101522796008309,2417.7853283153895,0.8504966952038023,2056.318431444479
2018,2056.318431444479,1.1039046209351064,2269.9794185855903,0.9768344418908055,2217.3940784576703
2019,2217.3940784576703,0.9978094598966065,2212.5367878037814,0.8825842846192032,1952.7501980574702
2020,1952.7501980574702,0.9635423156538352,1881.5574477297803,1.1210011264236177,2109.2280183358307
2021,2109.2280183358307,1.0034852673815515,2116.579241948391,0.9694870404178685,2051.996145086441
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
