CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Rondônia,,,,,
"Administração, defesa, educação e saúde públicas e seguridade social",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,7203.91033522702
2011,7203.91033522702,1.0266973307590939,7396.23551220543,1.076741192617116,7963.831446289139
2012,7963.831446289139,1.0408454934550306,8289.11807150551,1.063493148164227,8815.42027337038
2013,8815.42027337038,1.043438086869395,9198.34526499527,1.056141753014899,9714.7564930084
2014,9714.7564930084,1.0161816223353972,9871.95701365861,1.063478647747399,10498.615495506108
2015,10498.615495506108,0.9912923795978421,10407.19753702303,1.0722568976542197,11159.189344322951
2016,11159.189344322951,0.9891772412701948,11038.41613042913,1.1053916102250299,12201.772580749
2017,12201.772580749,0.987643286637013,12050.99877444833,1.0742530971269295,12945.82275692395
2018,12945.82275692395,1.0089441309276255,13061.61189062771,1.051445565271174,13733.573897693741
2019,13733.573897693741,0.9934147045240593,13643.13425563676,1.0367636980160906,14144.70632340397
2020,14144.70632340397,0.9424983266126945,13331.362040236241,1.094610657914058,14592.65097375349
2021,14592.65097375349,1.0356564306820657,15112.97282166671,1.056375637458158,15964.97629837599
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Rondônia,,,,,
"Administração, defesa, educação e saúde públicas e seguridade social",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,1333.46735094551
2011,1333.46735094551,1.0383896981122576,1384.65875999086,1.0534212538832517,1458.62896715
2012,1458.62896715,1.0705544044192128,1561.54166519588,1.0395610658119525,1623.3179177808001
2013,1623.3179177808001,1.0320321446061813,1675.31627206496,1.0081295817208609,1688.9358926070001
2014,1688.9358926070001,1.0371830996326294,1751.7357641749302,1.1196883882994884,1961.3981945156
2015,1961.3981945156,0.9473909000097536,1858.21080077964,1.130497953075845,2100.70350666481
2016,2100.70350666481,0.982932227256128,2064.8491766108,1.1182123441291412,2308.9398380510897
2017,2308.9398380510897,0.9716621086109036,2243.5093516964403,0.9742946910960979,2185.83925078229
2018,2185.83925078229,1.038994598110051,2271.07517389972,1.035245944394518,2351.12136319476
2019,2351.12136319476,0.9916833357849762,2331.5678762883,1.0204053036945802,2379.1442268884903
2020,2379.1442268884903,0.9455927993224947,2249.70164949544,1.1522912636812932,2592.31155660299
2021,2592.31155660299,1.0811016764492818,2802.5523697223402,1.0211395823299565,2861.7971562761
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Rondônia,,,,,
"Administração, defesa, educação e saúde públicas e seguridade social",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,5870.442984281511
2011,5870.442984281511,1.0240414170295078,6011.57675221457,1.0821125217677252,6505.2024791391395
2012,6505.2024791391395,1.0341840131623266,6727.57640630963,1.0690480376921891,7192.102355589581
2013,7192.102355589581,1.0460125038520258,7523.028992930309,1.0668336660597193,8025.8206004014
2014,8025.8206004014,1.0117621180166372,8120.221249483679,1.0513527943014294,8537.21730099051
2015,8537.21730099051,1.0013786032190506,8548.986736243389,1.0595976011115718,9058.48583765814
2016,9058.48583765814,0.9906254880383228,8973.56695381833,1.1024415144624762,9892.83274269791
2017,9892.83274269791,0.9913732171395485,9807.48942275189,1.0971190528312096,10759.983506141662
2018,10759.983506141662,1.002839522065149,10790.53671672799,1.054855085832142,11382.452534498982
2019,11382.452534498982,0.9937723302657602,11311.566379348462,1.0401355304775366,11765.56209651548
2020,11765.56209651548,0.941872585417978,11081.6603907408,1.0829008464451135,12000.3394171505
2021,12000.3394171505,1.0258393553727914,12310.42045194437,1.0643973691434971,13103.179142099889
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
