CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Região Norte,,,,,
Serviços domésticos,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2180.16091971313
2011,2180.16091971313,0.9819337187460122,2140.77351935864,1.1175868786179473,2392.50039532798
2012,2392.50039532798,0.9917170173190615,2372.68335598934,1.0503698233497267,2492.19499749536
2013,2492.19499749536,1.0131793703198584,2525.04055827665,1.1170692131113178,2820.64506950826
2014,2820.64506950826,1.0149232718881922,2862.73832278062,1.0704676625983949,3064.4688010178197
2015,3064.4688010178197,1.0319990149337859,3162.52878394571,1.0531571406571822,3330.6397713463
2016,3330.6397713463,0.9823429729896552,3271.8305749419096,1.0971405264857252,3589.65791956386
2017,3589.65791956386,1.0200284395174777,3661.5531660942797,1.021408206390993,3739.94045198562
2018,3739.94045198562,1.0432706844268846,3901.7702350588297,1.000263266015082,3902.7974385603798
2019,3902.7974385603798,1.0076819650853337,3932.7785922185303,1.0013276638028392,3938
2020,3938,0.8362886810791493,3293.3048260896903,1.0484442736046369,3452.84658614825
2021,3452.84658614825,1.0831438632308248,3739.9295904639803,0.9886884876451238,3697.62533069508
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Região Norte,,,,,
Serviços domésticos,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,
2011,,,0,0,
2012,,,0,0,0
2013,0,0,0,0,0
2014,0,0,0,0,0
2015,0,0,0,0,0
2016,0,0,0,0,0
2017,0,0,0,0,0
2018,0,0,0,0,0
2019,0,0,0,0,0
2020,0,0,0,0,0
2021,0,0,0,0,0
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Região Norte,,,,,
Serviços domésticos,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2180.16091971313
2011,2180.16091971313,0.9819337187460122,2140.77351935864,1.1175868786179473,2392.50039532798
2012,2392.50039532798,0.9917170173190615,2372.68335598934,1.0503698233497267,2492.19499749536
2013,2492.19499749536,1.0131793703198584,2525.04055827665,1.1170692131113178,2820.64506950826
2014,2820.64506950826,1.0149232718881922,2862.73832278062,1.0704676625983949,3064.4688010178197
2015,3064.4688010178197,1.0319990149337859,3162.52878394571,1.0531571406571822,3330.6397713463
2016,3330.6397713463,0.9823429729896552,3271.8305749419096,1.0971405264857252,3589.65791956386
2017,3589.65791956386,1.0200284395174777,3661.5531660942797,1.021408206390993,3739.94045198562
2018,3739.94045198562,1.0432706844268846,3901.7702350588297,1.000263266015082,3902.7974385603798
2019,3902.7974385603798,1.0076819650853337,3932.7785922185303,1.0013276638028392,3938
2020,3938,0.8362886810791493,3293.3048260896903,1.0484442736046369,3452.84658614825
2021,3452.84658614825,1.0831438632308248,3739.9295904639803,0.9886884876451238,3697.62533069508
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
