CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Região Norte,,,,,
Comércio e reparação de veículos automotores e motocicletas,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,31779.85767141346
2011,31779.85767141346,1.0370118913663677,32956.09031118644,1.0852927694080112,35767.006522688054
2012,35767.006522688054,1.0485577182544197,37503.77074822073,1.1227940675237227,42109.011305871965
2013,42109.011305871965,1.0410374592780254,43837.05814257459,1.0796580432108231,47329.03241433117
2014,47329.03241433117,1.0645546852135872,50384.343203301985,1.0287780431469997,51834.30600593985
2015,51834.30600593985,0.9279809181973917,48101.24688151664,1.1349974473580093,54594.7924252588
2016,54594.7924252588,0.8894460791144332,48559.12406271279,1.1588524208719126,56272.858475494264
2017,56272.858475494264,1.03798100662279,58410.15828593534,0.9988813448881101,58344.81746378247
2018,58344.81746378247,1.0661244253877595,62202.8349929288,1.013302184290131,63030.26856737336
2019,63030.26856737336,1.0498098666471485,66169.79783944818,1.0546968451656504,69789.07702651486
2020,69789.07702651486,1.0341457597865689,72172.07808638859,1.0319455051070365,74477.65157548276
2021,74477.65157548276,1.0605256470469488,78985.45962762606,1.089361117380927,86043.68855679681
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Região Norte,,,,,
Comércio e reparação de veículos automotores e motocicletas,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,9593.930740558
2011,9593.930740558,1.06751641453006,10241.678545410201,1.1019402984607445,11285.718313068319
2012,11285.718313068319,1.0672836128247518,12045.06221449402,1.136704731372722,13691.67920889415
2013,13691.67920889415,1.0425863130800415,14274.75734627561,1.0592863117957374,15121.0550611154
2014,15121.0550611154,1.0764027780787104,16276.34567526576,1.0518907524887118,17120.93750012169
2015,17120.93750012169,0.9287048841754066,15900.298278024891,1.160109001698804,18446.07916203267
2016,18446.07916203267,0.8974099008792659,16553.694072410828,1.1790050523090498,19516.88894575074
2017,19516.88894575074,1.0381535907253643,20261.528338819302,0.9835436684897942,19928.097911572262
2018,19928.097911572262,1.0652815776741473,21229.03558328458,1.0415158483948739,22110.37700612961
2019,22110.37700612961,1.060381299921404,23445.43031151203,1.0405083631473169,24395.16631671587
2020,24395.16631671587,1.0278770726942132,25075.23214151438,1.11006453963939,27835.126023521
2021,27835.126023521,1.0631208015977975,29592.10149070136,1.0798608222449773,31955.35104770559
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Região Norte,,,,,
Comércio e reparação de veículos automotores e motocicletas,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,22185.92693085546
2011,22185.92693085546,1.0238207236762227,22714.411765776236,1.0777865815792618,24481.288209619735
2012,24481.288209619735,1.0399251998398886,25458.708533726716,1.1162126334622051,28417.332096977814
2013,28417.332096977814,1.0402912101464632,29562.30079629898,1.0894949474720184,32207.977353215767
2014,32207.977353215767,1.0589922227646733,34107.99752803623,1.0177486519777168,34713.36850581816
2015,34713.36850581816,0.9276238518337592,32200.94860349175,1.1225977752502079,36148.71326322613
2016,36148.71326322613,0.8853822750825517,32005.429990301964,1.148429174077056,36755.969529743525
2017,36755.969529743525,1.037889366956993,38148.62994711603,1.0070275028347235,38416.719552210205
2018,38416.719552210205,1.0665616400161086,40973.79940964423,0.9986843336674366,40919.89156124375
2019,40919.89156124375,1.044097770004881,42724.36752793615,1.0624829186790727,45393.910709799
2020,45393.910709799,1.0375146183364108,47096.845944874214,0.9903534858057327,46642.525551961764
2021,46642.525551961764,1.0589769218628264,49393.3581369247,1.09505284818156,54088.33750909122
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
