Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Maquinas e equipamentos industriais,0.012,0.024,0.021,0.015,0.014,0.004,0.014,0.008,0.011,0.011,0.015,0.02,0.017,0.026,0.026,0.04,0.033,0.034,0.076,0.005,0.035,0.025,0.031,0.028,0.024,0.036,0.046,0.032,0.024,0.028,0.023,0.013,0.021,0.023,0.019,0.008,0.003,0.012,0.01,0.012,0.015
Automóveis e peças para veículos,0.003,0.004,0.008,0.004,0.003,0.001,0.004,0.002,0.003,0.01,0.003,0.005,0.006,0.007,0.009,0.008,0.011,0.01,0.026,0.002,0.009,0.006,0.007,0.008,0.007,0.008,0.075,0.062,0.007,0.005,0.004,0.016,0.021,0.005,0.006,0.004,0.001,0.005,0.003,0.005,0.004
Outros equipamentos de transporte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Móveis e indústrias diversas,0.005,0.01,0.01,0.009,0.005,0.001,0.007,0.003,0.004,0.004,0.004,0.007,0.005,0.009,0.009,0.017,0.013,0.013,0.027,0.002,0.012,0.008,0.009,0.009,0.008,0.012,0.014,0.01,0.008,0.008,0.007,0.004,0.007,0.008,0.006,0.003,0.001,0.004,0.003,0.009,0.005
"Eletricidade, gás, água, esgoto e limpeza urbana",0.043,0.079,0.085,0.07,0.044,0.015,0.061,0.03,0.042,0.046,0.037,0.055,0.073,0.115,0.071,0.132,0.129,0.101,0.227,0.015,0.098,0.062,0.083,0.074,0.066,0.1,0.11,0.077,0.072,0.068,0.059,0.034,0.057,0.07,0.05,0.021,0.008,0.033,0.029,0.044,0.041
Construção civil,0.027,0.056,0.05,0.033,0.033,0.009,0.03,0.017,0.022,0.025,0.036,0.056,0.034,0.057,0.068,0.107,0.08,0.074,0.166,0.011,0.079,0.062,0.088,0.075,0.055,0.094,0.112,0.081,0.051,0.065,0.063,0.032,0.05,0.06,0.048,0.022,0.007,0.029,0.025,0.027,0.035
Comércio,0.01,0.02,0.022,0.02,0.009,0.003,0.015,0.007,0.01,0.009,0.009,0.013,0.015,0.019,0.019,0.035,0.027,0.026,0.059,0.004,0.024,0.015,0.019,0.02,0.017,0.026,0.03,0.021,0.018,0.017,0.015,0.009,0.015,0.017,0.013,0.006,0.002,0.008,0.007,0.012,0.01
"Transporte, armazenagem e correio",0.017,0.032,0.036,0.029,0.02,0.006,0.025,0.014,0.023,0.083,0.014,0.022,0.034,0.033,0.031,0.053,0.051,0.044,0.101,0.007,0.041,0.025,0.032,0.032,0.028,0.041,0.049,0.035,0.031,0.027,0.024,0.015,0.024,0.028,0.021,0.011,0.003,0.014,0.012,0.023,0.017
Alojamento e alimentação,0.01,0.021,0.02,0.018,0.009,0.003,0.014,0.007,0.007,0.007,0.008,0.012,0.01,0.018,0.017,0.033,0.023,0.023,0.052,0.003,0.024,0.015,0.018,0.018,0.016,0.023,0.027,0.019,0.016,0.015,0.012,0.008,0.013,0.015,0.011,0.006,0.002,0.007,0.006,0.008,0.008
Serviços de Informação,0.015,0.03,0.03,0.027,0.014,0.005,0.021,0.011,0.015,0.013,0.014,0.021,0.022,0.029,0.029,0.048,0.044,0.042,0.094,0.006,0.039,0.024,0.032,0.032,0.027,0.039,0.056,0.04,0.028,0.026,0.022,0.016,0.024,0.026,0.022,0.022,0.003,0.014,0.012,0.023,0.016
Intermediação Financeira,0.018,0.035,0.035,0.031,0.017,0.005,0.024,0.014,0.015,0.017,0.016,0.025,0.02,0.031,0.034,0.056,0.053,0.049,0.107,0.007,0.045,0.027,0.037,0.036,0.03,0.046,0.05,0.036,0.032,0.03,0.025,0.015,0.025,0.03,0.022,0.032,0.003,0.015,0.012,0.025,0.017
Atividades imobiliárias e aluguéis,0.014,0.027,0.028,0.026,0.012,0.004,0.02,0.01,0.01,0.012,0.011,0.017,0.017,0.025,0.025,0.044,0.035,0.034,0.078,0.005,0.032,0.02,0.026,0.027,0.022,0.034,0.041,0.029,0.024,0.023,0.019,0.012,0.019,0.022,0.018,0.012,0.003,0.011,0.009,0.015,0.013
Serviços prestados às empresas,0.048,0.095,0.097,0.085,0.045,0.015,0.069,0.035,0.044,0.046,0.045,0.067,0.074,0.095,0.091,0.152,0.136,0.124,0.288,0.019,0.12,0.075,0.104,0.097,0.083,0.123,0.15,0.104,0.092,0.085,0.071,0.045,0.072,0.082,0.069,0.056,0.011,0.041,0.037,0.061,0.05
Administração pública,0.002,0.003,0.004,0.003,0.002,0.001,0.003,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.006,0.005,0.004,0.01,0.001,0.004,0.003,0.004,0.003,0.003,0.004,0.005,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.0,0.001,0.001,0.002,0.002
Saúde e educação mercantis,0.001,0.003,0.003,0.003,0.001,0.0,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.005,0.003,0.003,0.006,0.0,0.003,0.002,0.002,0.002,0.002,0.003,0.004,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.001,0.001,0.0,0.001,0.001,0.005,0.001
Serviços Prestados às Famílias,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.002,0.007,0.001,0.001,0.003,0.002,0.002,0.002,0.003,0.003,0.005,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.0,0.001,0.001,0.002,0.001
