Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Petróleo e gás natural,0.0672,0.10883,0.21384,0.09647,0.0676,0.02005,0.08485,0.04551,0.0696,0.09105,1.06877,0.11794,0.09391,0.15742,0.18728,0.69851,0.23219,0.22905,0.51598,0.02963,0.21598,0.14627,0.18179,0.12807,0.14111,0.20523,0.19115,0.12156,0.12551,0.13239,0.09825,0.06411,0.17505,0.11272,0.07802,0.02608,0.0119,0.06182,0.05026,0.05481,0.05326
Outros da indústria extrativa,0.02846,0.05724,0.05741,0.03449,0.03099,0.00871,0.03473,0.01741,0.02456,0.027,0.11899,1.13835,0.03044,0.05277,0.05607,0.14355,0.08561,0.07043,0.15805,0.0093,0.06699,0.10785,0.24696,0.04953,0.04433,0.0682,0.06391,0.04488,0.0442,0.10563,0.07795,0.02131,0.05915,0.04375,0.03014,0.01018,0.01171,0.02339,0.02746,0.02004,0.05182
"Alimentos, bebidas e fumo",0.00868,0.01204,0.01985,0.01133,0.01252,0.00509,0.01491,0.0219,0.10663,0.03193,0.01047,0.04458,1.38807,0.05646,0.01469,0.02104,0.15955,0.0273,0.22419,0.01262,0.01832,0.01328,0.02285,0.01399,0.01265,0.01723,0.01912,0.01171,0.06709,0.01237,0.01263,0.01684,0.01986,0.05467,0.0327,0.00919,0.00599,0.02337,0.02662,0.03288,0.02791
"Têxtil, vestuário e couros",0.00918,0.01363,0.01599,0.01186,0.00889,0.00249,0.03368,0.00521,0.00745,0.00819,0.02244,0.03408,0.01606,1.04449,0.02085,0.035,0.02693,0.02723,0.05975,0.00943,0.06918,0.02663,0.05821,0.02251,0.04437,0.07056,0.06324,0.04784,0.05072,0.01996,0.03164,0.01615,0.02215,0.04496,0.02797,0.00936,0.00487,0.01889,0.01198,0.01136,0.02216
Madeira e celulose,0.01367,0.02457,0.02735,0.01646,0.02299,0.01372,0.01709,0.02519,0.01509,0.02377,0.0141,0.03673,0.02954,0.05203,1.05181,0.0378,0.03701,0.04098,0.18201,0.01177,0.07526,0.03626,0.06459,0.06272,0.04922,0.07522,0.07263,0.05198,0.05614,0.04638,0.03581,0.02278,0.02695,0.04981,0.04653,0.02241,0.00571,0.02189,0.02979,0.02597,0.0261
Refino de petróleo,0.1355,0.2022,0.48549,0.17941,0.13946,0.04008,0.16493,0.09253,0.14822,0.2115,0.12421,0.2225,0.19387,0.28226,0.37166,1.71911,0.52302,0.40736,0.90149,0.05217,0.3804,0.30863,0.33099,0.26976,0.25058,0.35455,0.33742,0.2436,0.26674,0.23577,0.21162,0.13841,0.41039,0.23665,0.16025,0.05303,0.02446,0.11283,0.10767,0.10456,0.10694
Álcool e biocombustíveis,0.00862,0.01719,0.02101,0.01881,0.00642,0.00238,0.01347,0.00589,0.00823,0.00661,0.01426,0.02169,0.01202,0.01301,0.01255,0.02886,1.07356,0.04924,0.1143,0.00627,0.01444,0.01009,0.01359,0.01194,0.00983,0.01525,0.01483,0.01035,0.01043,0.01046,0.02035,0.00826,0.01391,0.01021,0.00789,0.0032,0.00125,0.01188,0.00746,0.00908,0.01409
Produtos químicos,0.19663,0.40521,0.41068,0.47505,0.12355,0.05217,0.32031,0.12588,0.10055,0.09741,0.05921,0.10152,0.14619,0.24748,0.20246,0.53466,0.26954,1.28134,0.62904,0.03726,0.2656,0.1464,0.14991,0.19462,0.17404,0.26288,0.24187,0.17969,0.19614,0.15952,0.13242,0.07848,0.16185,0.17742,0.11302,0.03256,0.01811,0.07803,0.0653,0.07451,0.08499
"Perfumaria, higiene e limpeza",0.00476,0.00671,0.00954,0.00766,0.00562,0.00142,0.0087,0.00516,0.03159,0.00986,0.00499,0.00286,0.01058,0.00532,0.00461,0.01093,0.00779,0.02008,1.01345,0.00242,0.00525,0.00318,0.00397,0.00376,0.00341,0.00511,0.00497,0.00346,0.00452,0.00318,0.00292,0.00315,0.00336,0.00375,0.00241,0.00099,0.00039,0.00193,0.00476,0.05286,0.00536
Produtos farmacêuticos,0.00253,0.00501,0.00537,0.00533,0.00193,0.0007,0.004,0.00169,0.00229,0.00191,0.00428,0.00633,0.00352,0.00901,0.00392,0.00848,0.00483,0.01404,0.03225,1.00183,0.00482,0.00474,0.00444,0.01002,0.00342,0.00529,0.0052,0.00356,0.00359,0.00354,0.00606,0.00256,0.00418,0.00849,0.00524,0.00134,0.00041,0.00356,0.00238,0.00698,0.00424
Borracha e plásticos,0.03111,0.05944,0.05222,0.05197,0.03282,0.01593,0.04302,0.02614,0.02607,0.02077,0.01923,0.03053,0.03888,0.09142,0.0856,0.0715,0.05815,0.13613,0.31456,0.01822,1.13103,0.05197,0.04562,0.10126,0.08573,0.13419,0.16214,0.0994,0.09803,0.07953,0.05982,0.03177,0.04548,0.08638,0.06643,0.01498,0.00909,0.03689,0.02455,0.03564,0.04279
Outros produtos de minerais não metálicos,0.01804,0.04046,0.02414,0.01745,0.02019,0.00558,0.02086,0.00999,0.01319,0.01215,0.04535,0.01761,0.01465,0.02402,0.02346,0.04141,0.03214,0.02696,0.05953,0.00356,0.0265,1.04337,0.02806,0.02155,0.01774,0.0292,0.02769,0.01936,0.01648,0.08958,0.06441,0.00968,0.03314,0.01981,0.01379,0.00514,0.01012,0.00916,0.01965,0.0096,0.04434
Metalurgia e produtos de metal,0.04345,0.07752,0.11838,0.06818,0.04318,0.01311,0.05756,0.02971,0.04308,0.05424,0.05097,0.08294,0.05964,0.1127,0.1227,0.32995,0.22533,0.16835,0.38247,0.02209,0.1572,0.08938,1.1306,0.11716,0.1031,0.15547,0.14311,0.10603,0.11415,0.09768,0.07979,0.04524,0.09889,0.10091,0.06629,0.01892,0.01072,0.04558,0.03584,0.0417,0.04979
"Máquinas para escritórios, informática e comunicação",0.00747,0.01547,0.01242,0.00865,0.00904,0.00215,0.00795,0.00431,0.00609,0.00629,0.01942,0.01243,0.01182,0.01649,0.01714,0.02343,0.02247,0.0216,0.04575,0.00354,0.02175,0.01722,0.01936,1.05039,0.04097,0.06393,0.05696,0.04355,0.04677,0.03795,0.02802,0.01506,0.01901,0.01453,0.02666,0.00738,0.00174,0.01727,0.01705,0.01218,0.01969
Máquinas e materiais elétricos,0.01704,0.03426,0.03329,0.03023,0.016,0.00519,0.02385,0.01127,0.01468,0.01291,0.02379,0.0365,0.02236,0.05167,0.0494,0.05519,0.10788,0.07888,0.1818,0.01048,0.07365,0.03189,0.05957,0.05639,1.04819,0.0752,0.06801,0.05109,0.0545,0.04585,0.03538,0.0175,0.02769,0.04808,0.03107,0.00808,0.00518,0.02107,0.01455,0.01915,0.02478
Maquinas e equipamentos industriais,0.01194,0.02418,0.02106,0.0152,0.01376,0.00397,0.01408,0.00771,0.01101,0.0111,0.02974,0.04567,0.02549,0.03546,0.03765,0.04115,0.03775,0.03695,0.08158,0.00709,0.08789,0.0857,0.04301,0.05811,0.0534,1.07691,0.07528,0.05296,0.02479,0.05107,0.0375,0.01818,0.02634,0.0485,0.03132,0.00774,0.00318,0.0208,0.01428,0.0117,0.0263
Automóveis e peças para veículos,0.00298,0.0045,0.00791,0.00435,0.00295,0.00078,0.00427,0.00222,0.00335,0.00974,0.00265,0.00456,0.00639,0.00667,0.00863,0.00754,0.01079,0.01018,0.02588,0.00208,0.00925,0.0062,0.0075,0.00817,0.00701,0.00769,1.30098,0.25265,0.00663,0.00483,0.00431,0.05732,0.07179,0.00538,0.00596,0.00409,0.00078,0.01366,0.00306,0.00455,0.00389
Outros equipamentos de transporte,5e-05,8e-05,0.00015,8e-05,6e-05,1e-05,8e-05,5e-05,8e-05,0.00022,5e-05,7e-05,0.00012,0.00011,0.00015,0.00013,0.0002,0.00018,0.00047,3e-05,0.00016,0.0001,0.00013,0.00014,0.00012,0.00014,0.00017,1.00526,0.00012,8e-05,7e-05,0.00114,0.00148,0.0001,8e-05,7e-05,1e-05,7e-05,0.00096,0.0001,0.00276
Móveis e indústrias diversas,0.00505,0.01024,0.00989,0.00909,0.00461,0.00148,0.00705,0.00321,0.00377,0.00364,0.00709,0.01088,0.00582,0.01535,0.00914,0.01655,0.03186,0.02372,0.02746,0.00314,0.0218,0.00982,0.01771,0.01697,0.01427,0.02213,0.02055,0.01512,1.01606,0.01354,0.01052,0.00553,0.00839,0.01419,0.00936,0.00383,0.00155,0.00634,0.00513,0.07472,0.00737
"Eletricidade, gás, água, esgoto e limpeza urbana",0.12867,0.30123,0.11239,0.07249,0.19724,0.03451,0.08945,0.05426,0.07157,0.04792,0.05121,0.10484,0.09057,0.16928,0.1218,0.13968,0.22546,0.1789,0.38963,0.02148,0.18031,0.13323,0.16217,0.11331,0.12044,0.14866,0.14436,0.10243,0.11276,1.09593,0.07673,0.05995,0.06987,0.11672,0.08379,0.02662,0.01211,0.0479,0.04717,0.06327,0.05763
Construção civil,0.0275,0.05575,0.05038,0.03282,0.03298,0.00864,0.03017,0.01728,0.02238,0.02535,0.06813,0.1044,0.03417,0.05702,0.13435,0.10659,0.08042,0.08043,0.16608,0.0113,0.07888,0.08313,0.17879,0.158,0.05539,0.20763,0.18183,0.13991,0.05116,0.12839,1.19739,0.04412,0.06627,0.1307,0.08315,0.02503,0.01421,0.05555,0.03574,0.02869,0.06525
Comércio,0.01022,0.02001,0.02174,0.02003,0.00862,0.00318,0.01527,0.00728,0.00969,0.00881,0.01382,0.01984,0.02498,0.02516,0.03522,0.03611,0.05478,0.05228,0.10902,0.00884,0.04361,0.02995,0.03777,0.04277,0.02851,0.04083,0.04564,0.02901,0.0322,0.01812,0.02239,1.02,0.02158,0.0286,0.02591,0.00703,0.00377,0.01393,0.00875,0.01639,0.01626
"Transporte, armazenagem e correio",0.02799,0.03479,0.085,0.0349,0.0301,0.00679,0.04061,0.02179,0.03304,0.13199,0.02018,0.03283,0.0576,0.04902,0.07122,0.05785,0.09414,0.07511,0.23037,0.0159,0.07498,0.04189,0.05386,0.05654,0.05675,0.06194,0.07482,0.04546,0.05195,0.03885,0.03171,0.02688,1.04475,0.04128,0.02872,0.02815,0.0048,0.01881,0.01768,0.03698,0.02259
Alojamento e alimentação,0.01017,0.02071,0.01955,0.01814,0.00942,0.00311,0.01379,0.00667,0.00687,0.0069,0.01386,0.02152,0.01018,0.01808,0.03027,0.03298,0.0228,0.04745,0.05217,0.00619,0.04576,0.01917,0.036,0.03459,0.02989,0.04579,0.04102,0.01928,0.01619,0.02816,0.01202,0.01018,0.01328,1.02914,0.01147,0.01438,0.0017,0.01239,0.01248,0.02071,0.01442
Serviços de Informação,0.0152,0.02984,0.02963,0.02666,0.01399,0.00458,0.02112,0.01101,0.01457,0.01284,0.01993,0.03093,0.03275,0.04457,0.04465,0.04827,0.08513,0.06913,0.17776,0.01166,0.06284,0.03418,0.05132,0.05716,0.04377,0.06083,0.10425,0.05053,0.04998,0.03842,0.03163,0.03369,0.03078,0.04263,1.06051,0.08319,0.00586,0.03007,0.01972,0.04531,0.02519
Intermediação Financeira,0.02093,0.03576,0.03462,0.03205,0.01725,0.00536,0.02428,0.02489,0.01498,0.01905,0.02373,0.03993,0.02003,0.03167,0.05216,0.05679,0.10635,0.08137,0.18055,0.01037,0.07281,0.03293,0.06006,0.05817,0.04808,0.07393,0.06773,0.05036,0.05387,0.04686,0.03614,0.02266,0.03329,0.04857,0.03266,1.17379,0.00594,0.02164,0.01693,0.04764,0.02586
Atividades imobiliárias e aluguéis,0.01458,0.02677,0.04269,0.02611,0.01369,0.00461,0.02069,0.00992,0.01125,0.01192,0.01277,0.02853,0.02078,0.03067,0.05032,0.04407,0.04058,0.06782,0.07831,0.00894,0.06487,0.03489,0.05349,0.0539,0.03122,0.03403,0.06066,0.02852,0.0251,0.02723,0.02942,0.03469,0.02994,0.03246,0.0475,0.03414,1.00776,0.01877,0.01878,0.04855,0.02904
Serviços prestados às empresas,0.05239,0.10227,0.10127,0.08826,0.0445,0.01498,0.06953,0.03471,0.05748,0.04587,0.05216,0.12041,0.11244,0.18947,0.18473,0.16162,0.14719,0.21959,0.43449,0.05069,0.17769,0.16595,0.17404,0.19501,0.15741,0.12783,0.21969,0.10352,0.13328,0.11732,0.09257,0.08836,0.11605,0.10194,0.24408,0.16851,0.0237,1.06901,0.10862,0.1109,0.07816
Administração pública,0.00223,0.00415,0.00423,0.00334,0.00227,0.00068,0.00287,0.00153,0.0027,0.00234,0.00196,0.00415,0.00428,0.0064,0.00637,0.00595,0.00602,0.008,0.01569,0.00169,0.00647,0.00557,0.00607,0.0066,0.00541,0.00485,0.0077,0.00382,0.00472,0.00411,0.00331,0.00309,0.004,0.00388,0.00767,0.00559,0.00078,0.00245,1.00353,0.00547,0.00284
Saúde e educação mercantis,0.0014,0.00279,0.00298,0.00304,0.00102,0.00041,0.00215,0.001,0.00088,0.00095,0.00227,0.00356,0.0013,0.00218,0.00498,0.00469,0.00268,0.00806,0.00625,0.0004,0.00261,0.00167,0.00224,0.00199,0.00176,0.00252,0.00642,0.00247,0.00187,0.00174,0.00138,0.00099,0.0018,0.00167,0.00135,0.00507,0.00021,0.00199,0.00123,1.07035,0.00228
Serviços Prestados às Famílias,0.0011,0.00189,0.00215,0.00122,0.0014,0.00026,0.00127,0.00232,0.00891,0.01009,0.00064,0.00145,0.00293,0.00219,0.00209,0.0019,0.00268,0.00267,0.00521,0.00051,0.00209,0.00168,0.00206,0.00203,0.00166,0.00164,0.00238,0.00126,0.00173,0.00134,0.00114,0.00095,0.00124,0.00133,0.00227,0.00787,0.00025,0.00879,0.00109,0.0114,1.01023
