Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Cultivo de cereais,1.00452,0.00184,0.00241,0.00167,0.00229,0.0011,0.00255,0.00165,0.00777,0.00322,0.00137,0.00312,0.04865,0.00534,0.00175,0.00251,0.01015,0.00275,0.01107,0.00086,0.00357,0.00173,0.00339,0.00173,0.00233,0.00358,0.00337,0.00235,0.00447,0.00153,0.00196,0.00275,0.00171,0.01118,0.00233,0.00081,0.00042,0.00175,0.00263,0.00182,0.00206
Cultivo de algodão herbáceo,0.00507,1.01446,0.00682,0.00863,0.00365,0.00116,0.01175,0.00264,0.00735,0.00418,0.00793,0.01244,0.02292,0.18666,0.00759,0.01301,0.08218,0.01226,0.02905,0.00347,0.02231,0.00906,0.01903,0.00802,0.01436,0.02275,0.02056,0.01542,0.01705,0.00702,0.01123,0.00978,0.00798,0.0166,0.00951,0.00321,0.00165,0.00692,0.00475,0.00456,0.00811
Cultivo de cana-de-açúcar,0.00055,0.00099,1.0104,0.00105,0.00066,0.00019,0.00087,0.00058,0.00216,0.00202,0.00081,0.00158,0.01624,0.00133,0.00082,0.00166,0.05245,0.00272,0.00805,0.00045,0.00094,0.00066,0.00097,0.00075,0.00063,0.00096,0.00096,0.00065,0.00133,0.00066,0.00115,0.00061,0.00091,0.00116,0.00077,0.00026,0.00013,0.00086,0.00068,0.00082,0.00101
Cultivo de soja,0.00857,0.00843,0.00506,1.0097,0.00302,0.00118,0.00711,0.00348,0.00887,0.00386,0.00477,0.00851,0.0611,0.03382,0.00492,0.00826,0.07453,0.00881,0.02591,0.00238,0.0124,0.00542,0.01095,0.00506,0.00803,0.01259,0.01156,0.00849,0.01135,0.00438,0.00673,0.00791,0.00516,0.01455,0.00621,0.00209,0.00108,0.00472,0.00418,0.00381,0.00552
Cultivo de outros produtos da lavoura temporária,0.01981,0.00393,0.03486,0.00337,1.04729,0.01503,0.02257,0.02104,0.01941,0.02003,0.00177,0.00421,0.04367,0.00529,0.00368,0.00412,0.03951,0.00575,0.01615,0.00107,0.00358,0.00265,0.00447,0.00332,0.00245,0.00389,0.00406,0.00256,0.00485,0.00264,0.00812,0.00398,0.00244,0.01642,0.00322,0.00149,0.0005,0.00567,0.00405,0.00337,0.00658
Cultivo de laranja,0.00054,0.00077,0.00113,0.00069,0.00076,1.00028,0.00082,0.00174,0.00401,0.00161,0.00059,0.00186,0.04566,0.00224,0.00101,0.00126,0.00594,0.00171,0.00843,0.00052,0.00133,0.00079,0.00137,0.00102,0.00089,0.00128,0.00129,0.00071,0.00256,0.00089,0.00069,0.00076,0.0009,0.01608,0.00132,0.00058,0.00024,0.00107,0.00315,0.00149,0.00717
Cultivo de café,0.00076,0.00091,0.00126,0.0008,0.00106,0.00029,1.00101,0.00078,0.00665,0.00773,0.00047,0.00133,0.01798,0.00378,0.00126,0.00127,0.0048,0.00175,0.00523,0.00041,0.00131,0.00102,0.00144,0.00112,0.00097,0.00107,0.0014,0.00078,0.0018,0.00079,0.00084,0.00082,0.00086,0.00186,0.00147,0.00082,0.00019,0.00427,0.00233,0.00099,0.00496
Cultivo de outros produtos da lavoura permanente,0.00118,0.00116,0.00243,0.00105,0.00296,0.00055,0.00166,1.00197,0.00483,0.03602,0.00066,0.00178,0.0217,0.00257,0.00195,0.00181,0.00509,0.00257,0.00686,0.00052,0.00216,0.00141,0.00203,0.00163,0.00136,0.00165,0.00196,0.00107,0.00236,0.0012,0.00114,0.0026,0.00112,0.01136,0.00176,0.001,0.00024,0.0045,0.00257,0.00146,0.00522
"Pecuária, pesca e aquicultura",0.01405,0.01933,0.02907,0.01965,0.02402,0.00568,0.02089,0.01553,1.08482,0.24592,0.00846,0.02774,0.2299,0.04025,0.03065,0.03055,0.09573,0.04797,0.07898,0.00486,0.02201,0.01784,0.03797,0.01569,0.01335,0.02043,0.02009,0.014,0.04185,0.01415,0.02225,0.01147,0.01349,0.0229,0.01444,0.00502,0.00249,0.01551,0.01237,0.0122,0.01232
Produção florestal,0.01582,0.0043,0.03464,0.00298,0.07264,0.00737,0.0229,0.02807,0.06751,2.31506,0.00175,0.00419,0.02427,0.01423,0.01261,0.00494,0.01361,0.00708,0.0176,0.00114,0.01877,0.00591,0.00607,0.00482,0.00414,0.00638,0.0066,0.00446,0.00679,0.00402,0.00443,0.00385,0.00286,0.00652,0.00388,0.00147,0.00059,0.00303,0.00393,0.00258,0.0033
