Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Cultivo de cereais,0.001,0.0,0.002,0.0,0.003,0.0,0.003,0.003,0.027,0.001,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.014,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.048,0.003
Cultivo de algodão herbáceo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.001,0.005,0.0,0.0,0.0,0.009,0.021,0.001,0.0,0.002,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.005,0.003,0.0,0.0,0.002,0.001,0.004,0.002
Cultivo de cana-de-açúcar,0.002,0.001,0.0,0.0,0.006,0.007,0.003,0.007,0.002,0.0,0.0,0.0,0.006,0.041,0.04,0.0,0.0,0.073,0.177,0.009,0.067,0.013,0.0,0.05,0.042,0.068,0.073,0.035,0.053,0.038,0.024,0.007,0.009,0.042,0.032,0.0,0.004,0.016,0.006,0.002,0.018
Cultivo de soja,0.004,0.011,0.004,0.006,0.001,0.002,0.009,0.003,0.003,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.044,0.0,0.017,0.0,0.0,0.0,0.008,0.0,0.012,0.0,0.033
Cultivo de outros produtos da lavoura temporária,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.013,0.02,0.004,0.028,0.027,0.148,0.089,0.05,0.122,0.006,0.046,0.009,0.037,0.034,0.029,0.047,0.029,0.024,0.036,0.026,0.017,0.006,0.007,0.029,0.015,0.0,0.003,0.011,0.004,0.0,0.013
Cultivo de laranja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.002,0.001,0.002,0.0,0.001,0.002,0.003,0.001,0.001,0.002,0.001,0.033,0.026,0.042,0.027,0.022,0.033,0.024,0.015,0.007,0.007,0.001,0.014,0.001,0.0,0.01,0.011,0.002,0.012
Cultivo de café,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.015,0.003,0.021,0.02,0.0,0.065,0.037,0.089,0.004,0.034,0.006,0.027,0.025,0.021,0.034,0.021,0.018,0.027,0.019,0.012,0.004,0.005,0.021,0.011,0.0,0.002,0.008,0.003,0.0,0.009
Cultivo de outros produtos da lavoura permanente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.025,0.008,0.01,0.012,0.001,0.005,0.003,0.005,0.002,0.053,0.06,0.012,0.03,0.029,0.041,0.029,0.021,0.001,0.023,0.014,0.006,0.006,0.025,0.013,0.0,0.0,0.009,0.004,0.0,0.011
"Pecuária, pesca e aquicultura",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.19,0.0,0.0,0.0,0.041,0.051,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0
Produção florestal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.003
Petróleo e gás natural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.006,0.0,0.0,0.019,0.011,0.0,0.001,0.01,0.002,0.008,0.008,0.006,0.01,0.006,0.005,0.008,0.006,0.004,0.001,0.002,0.006,0.003,0.001,0.001,0.002,0.002,0.066,0.003
Outros da indústria extrativa,0.086,0.222,0.028,0.002,0.153,0.02,0.029,0.024,0.03,0.002,0.014,0.049,0.017,0.054,0.05,0.007,0.096,0.078,0.162,0.006,0.082,0.071,0.079,0.04,0.054,0.049,0.035,0.025,0.041,0.028,0.018,0.026,0.013,0.047,0.034,0.006,0.004,0.015,0.018,0.019,0.017
"Alimentos, bebidas e fumo",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.049,0.0,0.0,0.066,0.0,0.0,0.006,0.0,0.0,0.0,0.021,0.091,0.083,0.0,0.114,0.07,0.059,0.0,0.064,0.135,0.012,0.016,0.071,0.036,0.003,0.007,0.026,0.011,0.001,0.031
"Têxtil, vestuário e couros",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.007,0.01,0.006,0.016,0.001,0.028,0.026,0.05,0.005,0.019,0.014,0.018,0.023,0.012,0.015,0.015,0.008,0.014,0.001,0.008,0.011,0.006,0.012,0.013,0.001,0.002,0.005,0.001,0.004,0.006
Celulose e produtos de madeira,0.01,0.003,0.049,0.006,0.01,0.001,0.016,0.008,0.01,0.049,0.006,0.011,0.024,0.016,0.04,0.005,0.043,0.032,0.129,0.009,0.034,0.017,0.021,0.025,0.029,0.021,0.026,0.011,0.021,0.012,0.008,0.012,0.02,0.013,0.008,0.017,0.002,0.005,0.005,0.014,0.006
Refino de petróleo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.0,0.0,0.013,0.0,0.0,0.024,0.0,0.003,0.022,0.004,0.018,0.017,0.014,0.023,0.014,0.0,0.0,0.013,0.0,0.002,0.0,0.014,0.0,0.009,0.0,0.005,0.006,0.013,0.006
Álcool e biocombustíveis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.009,0.011,0.015,0.015,0.0,0.041,0.027,0.084,0.005,0.024,0.01,0.02,0.025,0.017,0.021,0.049,0.011,0.022,0.012,0.009,0.018,0.007,0.016,0.038,0.062,0.003,0.016,0.008,0.022,0.01
Produtos químicos,0.003,0.0,0.0,0.001,0.001,0.0,0.0,0.011,0.0,0.002,0.008,0.015,0.0,0.0,0.019,0.0,0.054,0.033,0.074,0.004,0.028,0.006,0.023,0.022,0.018,0.028,0.018,0.015,0.022,0.017,0.011,0.007,0.008,0.019,0.01,0.142,0.002,0.007,0.005,0.023,0.009
"Perfumaria, higiene e limpeza",0.001,0.0,0.015,0.0,0.002,0.0,0.001,0.0,0.001,0.0,0.002,0.012,0.004,0.005,0.025,0.0,0.006,0.034,0.0,0.004,0.033,0.015,0.027,0.027,0.009,0.0,0.02,0.0,0.001,0.005,0.01,0.023,0.011,0.01,0.029,0.022,0.005,0.008,0.009,0.034,0.016
Produtos farmacêuticos,0.004,0.008,0.005,0.003,0.0,0.0,0.001,0.0,0.013,0.0,0.007,0.054,0.039,0.094,0.094,0.009,0.011,0.096,0.146,0.031,0.058,0.091,0.07,0.098,0.074,0.005,0.07,0.0,0.041,0.033,0.021,0.043,0.044,0.02,0.175,0.113,0.013,0.028,0.072,0.05,0.029
