CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Região Norte,,,,,
Informação e comunicação,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,4707.5159118388
2011,4707.5159118388,1.0735558352759311,5053.7811768088395,1.0332028446767823,5221.581088252869
2012,5221.581088252869,1.124920888770193,5873.86563858305,0.9592064082180278,5634.24956154054
2013,5634.24956154054,1.0500655371245984,5916.3312921331,1.0106176477009778,5979.14881347524
2014,5979.14881347524,1.0222265137722133,6112.04444692406,1.2528087377144999,7657.22268840585
2015,7657.22268840585,1.0422475863367804,7980.72186503423,1.0226338586881432,8161.35639595679
2016,8161.35639595679,0.9470934322441608,7729.567040814551,1.018762735069942,7874.5948594067095
2017,7874.5948594067095,1.071892679358433,8440.7205827116,1.0338796299715103,8726.68907274678
2018,8726.68907274678,0.9990061866870948,8718.016372968701,1.0478226771651025,9134.93525549326
2019,9134.93525549326,0.9855961005421319,9003.356566519,1.0210643865000102,9193.00674903356
2020,9193.00674903356,0.9375439202563742,8618.84758643223,1.067578084822142,9201.29279969726
2021,9201.29279969726,1.1188930340909404,10295.262418212391,1.0068624232925698,10365.91286683425
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Região Norte,,,,,
Informação e comunicação,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2424.4526661349
2011,2424.4526661349,1.081341064465132,2621.66022674364,1.0786438569930905,2827.83769870014
2012,2827.83769870014,1.1340388564635488,3206.87783009842,1.010495323697631,3240.53505098406
2013,3240.53505098406,1.0481899976468727,3396.69642746559,0.9966207089585881,3385.21800165786
2014,3385.21800165786,1.0119671696692147,3425.7294798509797,1.2681336894587858,4344.28296437115
2015,4344.28296437115,1.0355320480791665,4498.64423553069,1.0368922126806548,4664.60917544249
2016,4664.60917544249,0.9525420762378146,4443.2365088139495,0.9972275200999084,4430.917724901909
2017,4430.917724901909,1.0720976504716373,4750.37648230047,1.0381030838393497,4931.38047567404
2018,4931.38047567404,1.0101635069893526,4981.50059560571,1.0649332445862005,5304.96559218648
2019,5304.96559218648,0.9844446465313156,5222.4449772608095,0.9860952377923975,5149.82812170971
2020,5149.82812170971,0.9120633431037648,4696.96945309634,0.9787868457317224,4597.33191549442
2021,4597.33191549442,1.1222750485631479,5159.47089872241,1.0933912333483005,5641.32024937876
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Região Norte,,,,,
Informação e comunicação,,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2283.0632457039005
2011,2283.0632457039005,1.0652884691835784,2432.1209500652,0.9842205378349126,2393.7433895527297
2012,2393.7433895527297,1.11414941974334,2666.9878084846296,0.8975348529682922,2393.71451055648
2013,2393.71451055648,1.052604583193071,2519.6348646675096,1.0294867911980867,2593.93081181738
2014,2593.93081181738,1.0356155047909599,2686.31496707308,1.2332655569590076,3312.9397240347002
2015,3312.9397240347002,1.05105372254188,3482.0776295035403,1.0042128845395246,3496.7472205143004
2016,3496.7472205143004,0.9398250215859895,3286.3305320006007,1.0478791165319612,3443.6771345048
2017,3443.6771345048,1.0716289466961892,3690.34410041113,1.028443010680201,3795.3085970727407
2018,3795.3085970727407,0.984509080564596,3736.5157773629903,1.025010970516962,3829.9696633067797
2019,3829.9696633067797,0.9871910019239594,3780.911589258189,1.0693660858959988,4043.1786273238495
2020,4043.1786273238495,0.9699987299180378,3921.8781333358897,1.1739173752160372,4603.96088420284
2021,4603.96088420284,1.1155158891796766,5135.791519489981,0.9199346584700684,4724.592617455489
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
