CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Região Norte,,,,,
"Artes, cultura, esporte e recreação e outras atividades de serviços",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,4582.87539052532
2011,4582.87539052532,0.9508177527047025,4357.47927974497,1.0606164066035695,4621.61401553262
2012,4621.61401553262,1.0797976253549741,4990.40783927939,1.0893852099506143,5436.47649173257
2013,5436.47649173257,0.9226553515630223,5015.9941287436195,1.1532639243426581,5784.7650733946
2014,5784.7650733946,1.09811379658393,6352.33033709146,1.0202033866073694,6480.66892274944
2015,6480.66892274944,0.9669212299591919,6266.2963657432,1.0021463058465243,6279.74575426905
2016,6279.74575426905,0.9597808122518094,6027.1794807672,1.0453124829947797,6300.28594849595
2017,6300.28594849595,1.0420502816786983,6565.21474728655,0.9899963090827572,6499.53836814937
2018,6499.53836814937,1.0758463508487301,6992.50463557481,1.0930703949986316,7643.2998040375205
2019,7643.2998040375205,1.0321088918619061,7888.7176909134905,1.0949733069037106,8637.935297249349
2020,8637.935297249349,0.8824242995285807,7622.32400404846,1.1227328447332232,8557.83351254366
2021,8557.83351254366,1.107520900380835,9477.979477121638,0.984025752196136,9326.57588427416
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Região Norte,,,,,
"Artes, cultura, esporte e recreação e outras atividades de serviços",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2220.85768543321
2011,2220.85768543321,0.9215151197197224,2046.5539358724502,1.0669381618838596,2183.5464945359304
2012,2183.5464945359304,1.053135539387426,2299.57041530062,1.0943588198153802,2516.55516577075
2013,2516.55516577075,0.9173977638008923,2308.6820815596698,1.1264010671464544,2600.50196037071
2014,2600.50196037071,1.084717624507514,2820.8103089804504,1.0073929897252778,2841.6645306117002
2015,2841.6645306117002,0.9719651906925301,2761.9990073802,1.0451184860261487,2886.6162209989197
2016,2886.6162209989197,0.9623849445289663,2778.0359917224596,1.0330186539203068,2869.7630007113
2017,2869.7630007113,1.0487697380672933,3009.7205905712,0.9820306031693872,2955.6377269299596
2018,2955.6377269299596,1.0767971341946703,3182.62223407583,1.14445998539184,3642.38379551817
2019,3642.38379551817,1.0354972949130823,3771.67856729431,1.0612849237756117,4002.82560079705
2020,4002.82560079705,0.8811842373337304,3527.22682421828,1.1432084951325718,4032.35566970582
2021,4032.35566970582,1.0955813057693067,4417.7734899425695,1.0712533345255175,4732.55458227941
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Região Norte,,,,,
"Artes, cultura, esporte e recreação e outras atividades de serviços",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2362.01770509211
2011,2362.01770509211,0.97836918787296,2310.9253438725204,1.0550178643638535,2438.0675209966903
2012,2438.0675209966903,1.1036763341479348,2690.8374239787704,1.0851347985358095,2919.9213259618195
2013,2919.9213259618195,0.9271866413360174,2707.3120471839497,1.176171441462039,3184.26311302389
2014,3184.26311302389,1.1090540896783345,3531.52002811101,1.0304357226268437,3639.00439213774
2015,3639.00439213774,0.9629824481482404,3504.2973583630005,0.9682767146379376,3393.1295332701297
2016,3393.1295332701297,0.9575654148143816,3249.143489044741,1.055823776127916,3430.5229477846497
2017,3430.5229477846497,1.03642920068831,3555.4941567153496,0.9967392674590556,3543.9006412194103
2018,3543.9006412194103,1.075053390940455,3809.88240149898,1.0501416019941217,4000.9160085193507
2019,4000.9160085193507,1.0290241321868698,4117.03912361918,1.1258357176789946,4635.109696452299
2020,4635.109696452299,0.883495202489934,4095.0971798301803,1.1050965689233063,4525.47784283784
2021,4525.47784283784,1.1181594878842478,5060.20598717907,0.9078723897079524,4594.02130199475
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
