CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Região Norte,,,,,
"Produção florestal, pesca e aquicultura",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2523.3795703092196
2011,2523.3795703092196,1.7145026368786889,4326.34092714097,1.043231831795554,4513.3765703933495
2012,4513.3765703933495,0.9161036049045982,4134.7205464293,1.1238632481563375,4646.86046352878
2013,4646.86046352878,1.0559346859341756,4906.7811441362,1.1096569812606858,5444.8439521090295
2014,5444.8439521090295,1.057469049417309,5757.753958262319,1.055965579311524,6079.98999406969
2015,6079.98999406969,1.0605016066413322,6447.83915707413,1.0671618397614135,6880.88789734891
2016,6880.88789734891,0.9633960447606318,6629.02018474724,0.9756198667007087,6467.40378899941
2017,6467.40378899941,1.0762124955372065,6960.30077140584,1.0657707380879298,7418.084890455189
2018,7418.084890455189,0.9936115687983207,7370.694965484299,1.031020855763452,7599.34023088499
2019,7599.34023088499,1.2200619162611475,9271.66560441397,0.9055090395057463,8395.57701607136
2020,8395.57701607136,0.8382579861448206,7037.659482015721,1.095895590212616,7712.53999175903
2021,7712.53999175903,1.3033739085164933,10052.323393648729,1.2396890308452662,12461.75504561559
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Região Norte,,,,,
"Produção florestal, pesca e aquicultura",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,438.39237337098996
2011,438.39237337098996,1.63975098992518,718.8543282107299,1.029816340817269,740.2879338586299
2012,740.2879338586299,0.9796462094476912,725.22026830447,1.0359638631115176,751.30199075947
2013,751.30199075947,1.1227728600644034,843.54148493709,1.033489565428032,871.7913226881501
2014,871.7913226881501,1.1368545664699028,991.09994620686,1.064551543071103,1055.0769770722
2015,1055.0769770722,1.0799895836682587,1139.4721452061701,1.0599432917174483,1207.77585641017
2016,1207.77585641017,0.9686129948391633,1169.86738937189,1.0285038396487516,1203.21310184885
2017,1203.21310184885,1.1018069550756837,1325.70856405525,1.0808947299918934,1432.95140039244
2018,1432.95140039244,1.0054434233172553,1440.75156145783,1.2332414444637656,1776.79453676568
2019,1776.79453676568,1.3547956088079676,2407.19343616413,0.9807829544040655,2360.9342901431296
2020,2360.9342901431296,0.7479098570051909,1765.7660273396,1.051702880445299,1857.06121714551
2021,1857.06121714551,1.3433343283035573,2494.65408275275,1.2334506987169174,3077.03282142839
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Região Norte,,,,,
"Produção florestal, pesca e aquicultura",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2084.9871969382298
2011,2084.9871969382298,1.7302200244815777,3607.4865989302402,1.045905101256256,3773.0886365347196
2012,3773.0886365347196,0.9036364121189009,3409.50027812483,1.142559951604346,3895.55847276931
2013,3895.55847276931,1.0430441970264144,4063.23965919911,1.1254695791983524,4573.052629420879
2014,4573.052629420879,1.0423352623123205,4766.65401205546,1.0541803546657385,5024.91301699749
2015,5024.91301699749,1.0564097316533931,5308.36701186796,1.068711343480079,5673.1120409387395
2016,5673.1120409387395,0.9622853833981418,5459.15279537535,0.9642871127567724,5264.19068715056
2017,5264.19068715056,1.0703624815689425,5634.59220735059,1.0622123606842147,5985.13349006275
2018,5985.13349006275,0.9907788044948517,5929.9434040264705,0.981888914853009,5822.54569411931
2019,5822.54569411931,1.1789468952013313,6864.472168249841,0.8791124179715069,6034.64272592823
2020,6034.64272592823,0.8736048999264019,5271.893454676121,1.1106974799385911,5855.478774613521
2021,5855.478774613521,1.2907004878341153,7557.669310895979,1.2417481948644056,9384.722224187199
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
