Tabela 03 - Oferta e demanda da produção nacional a preço básico - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
16001,"Produtos de madeira, exclusive móveis",26158,367,308,20,4,0,0,0,31,0,249,84,0,20,0,0,3139,459,0,0,0,15,36,0,0,0,32,12,0,197,0,3,300,136,50,324,5267,0,469,6,4582,1896,0,0,0,66,0,0,0,114,0,0,0,353,0,0,0,0,79,0,47,21,0,2,0,0,154,0,18842,7380,0,0,1561,87,-1712,7316,26158
17001,Celulose,21456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102,18797,0,0,0,0,557,19354,21456
17002,"Papel, papelão, embalagens e artefatos de papel",57150,422,144,21,5,39,56,19,3005,17,3256,211,599,567,278,653,583,6358,1016,113,43,64,181,1464,900,1692,1818,29,11,1139,898,359,142,191,576,64,811,17,60,44,248,4805,128,44,16,245,172,959,704,68,31,230,1078,148,976,248,319,268,1010,29,524,621,263,98,508,26,379,0,42010,7157,0,0,9953,0,-1970,15140,57150
18001,Serviços de impressão e reprodução,18884,5,0,3,0,5,9,5,42,10,67,215,0,9,9,5,14,118,1088,5,8,1,16,0,8,20,10,14,1,17,181,10,18,17,13,5,24,0,25,9,25,5834,42,1,33,44,2,44,1521,281,670,661,1360,219,400,207,2627,43,955,1,944,232,8,104,16,242,322,0,18844,77,0,0,271,0,-308,40,18884
19911,Combustíveis para aviação,10345,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,5577,4793,0,0,147,0,-172,4768,10345
19912,Gasoálcool,81385,497,472,56,1,41,2,5,471,1,49,89,1,1,0,0,123,23,0,1,0,1,3,0,0,0,3,2,1,3,0,2,6,34,7,2,4,8,37,125,720,2348,1310,21,81,96,58,140,28,58,117,132,600,77,505,305,88,391,448,89,999,171,26,41,213,72,174,0,11379,0,0,0,70006,0,0,70006,81385
19913,Naftas para petroquímica,8218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117,0,6313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8430,0,0,0,0,0,-212,-212,8218
19914,Óleo combustível  ,16422,50,29,7,323,54,0,253,392,0,256,84,0,27,0,0,22,644,0,231,0,519,88,10,7,31,413,218,1189,14,0,5,60,3,3,6,3,7,2636,52,649,498,2,727,0,312,0,0,0,0,0,0,0,0,0,2,0,6,9,0,0,0,0,0,0,0,0,0,9841,7196,0,0,0,0,-615,6581,16422
19915,Diesel - biodiesel,112428,8247,2324,431,627,180,2699,982,1817,1055,2646,482,17,144,106,115,65,395,24,23,1007,826,274,227,160,560,1024,717,161,290,195,233,240,794,159,151,218,168,3424,604,4335,8600,58443,348,57,1228,14,3,1,6,2,0,0,2,0,11,1,64,1,253,277,108,69,21,35,42,195,0,107927,0,0,0,4501,0,0,4501,112428
19916,Outros produtos do refino do petróleo,151013,598,381,28,17,654,277,100,40,1,353,33,3,45,0,85,0,335,0,121399,0,1098,572,223,8,882,2131,1661,127,92,1,470,157,111,161,7,59,127,174,97,1245,3188,2381,38,0,73,13,802,0,3,0,0,0,1,0,90,9,85,1,0,263,72,0,10,17,1,82,0,140881,2784,0,0,8669,0,-1321,10132,151013
