Tabela 04 - Oferta e demanda de produtos importados a preço básico - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
01918,Café em grão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01919,Outros produtos da lavoura permanente,1876,9,3,0,0,0,0,0,0,0,393,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,71,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,6,4,0,2,0,545,0,1,0,1330,0,0,1331,1876
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",129,0,6,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,5,15,0,20,129
01922,Leite de vaca e de outros animais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01923,Suínos,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
01924,Aves e ovos,99,0,15,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,43,6,1,50,99
02801,Produtos da exploração florestal e da silvicultura,1272,167,179,413,0,0,0,0,51,0,47,0,1,10,3,4,19,16,0,0,0,17,0,0,0,276,0,6,0,4,0,0,0,0,0,0,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,1295,0,0,0,1,0,-24,-23,1272
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",1358,2,4,80,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,69,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1,5,3,0,0,0,437,0,0,0,918,0,3,921,1358
05801,Carvão mineral,7136,0,0,0,0,0,0,5,5,0,6,0,0,0,0,0,0,0,0,26,0,50,0,0,0,0,4,4973,304,0,0,0,0,0,34,0,0,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6954,0,0,0,0,0,182,182,7136
05802,Minerais não metálicos,2061,0,0,2,0,0,0,0,5,1,27,0,0,0,0,0,0,0,0,0,23,1591,6,0,0,0,162,23,27,0,0,4,0,0,1,0,3,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,0,0,0,0,0,12,12,2061
06801,"Petróleo, gás natural e serviços de apoio",40773,0,0,0,0,84,56,8,71,0,682,138,0,121,0,0,38,625,0,23070,0,1606,75,25,34,79,533,302,271,331,0,21,16,67,125,0,0,0,11803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40183,0,0,0,0,0,590,590,40773
07911,Minério de ferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07921,Minerais metálicos não ferrosos,3561,0,0,0,0,0,2,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,375,2513,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3357,0,0,0,0,0,204,204,3561
10911,Carne de bovinos e outros produtos de carne,1611,0,128,0,0,0,0,0,222,0,30,0,0,0,0,10,0,0,0,0,74,0,0,140,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,141,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,5,6,0,1,0,785,0,1,0,821,0,4,826,1611
10912,Carne de suíno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10913,Carne de aves,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,27,0,-5,22,34
10914,Pescado industrializado,2650,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,269,0,0,0,0,0,0,0,0,0,0,0,0,14,15,1,9,2,0,2,0,325,0,0,0,2438,0,-113,2325,2650
10915,"Leite resfriado, esterilizado e pasteurizado",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
10916,Outros produtos do laticínio,1560,0,0,0,0,0,0,0,341,0,103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,82,0,0,0,0,0,0,0,0,0,0,0,0,11,10,2,5,5,0,5,0,572,0,0,0,997,0,-9,988,1560
10921,Açúcar,34,0,0,0,0,0,0,0,1,3,15,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,6,0,-3,3,34
10931,"Conservas de frutas, legumes, outros vegetais e sucos de frutas",2943,0,0,0,0,0,0,0,55,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,179,0,0,0,0,0,0,0,1,0,0,0,0,88,87,10,42,24,0,3,0,1376,0,2,0,1714,0,-149,1567,2943
10932,Óleos e gorduras vegetais e animais,2800,0,1,0,0,0,0,0,146,0,1143,0,0,0,0,0,0,0,0,0,63,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,1,429,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,1894,0,0,0,1000,0,-94,906,2800
10933,Café beneficiado,283,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,54,0,0,0,0,5,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,75,0,0,0,201,0,7,208,283
10934,Arroz beneficiado e produtos derivados do arroz,461,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,7,2,0,1,0,120,0,0,0,364,0,-23,341,461
10935,"Produtos derivados do trigo, mandioca ou milho",768,0,12,0,1,0,0,0,35,0,226,91,0,0,0,0,0,33,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,1,0,570,0,0,0,204,0,-6,198,768
10936,Rações balanceadas para animais,889,36,347,28,0,0,0,0,392,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,0,847,0,0,0,23,0,19,42,889
10937,Outros produtos alimentares,3461,0,9,0,0,0,0,0,213,0,354,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,6,150,0,0,2,0,0,0,0,0,1,0,0,0,30,49,7,79,16,0,2,0,963,0,5,0,2452,0,41,2498,3461
11001,Bebidas,7490,0,0,0,0,0,0,0,2,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,79,4786,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,5570,0,0,0,2226,0,-306,1920,7490
12001,Produtos do fumo,5716,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,5609,0,55,5664,5716
13001,Fios e fibras têxteis beneficiadas,1574,14,0,0,0,0,0,0,0,0,0,0,0,833,664,6,0,0,0,0,0,0,0,0,17,8,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,0,0,0,4,0,17,21,1574
13002,Tecidos,4137,52,0,0,21,0,0,0,0,7,22,0,0,595,2623,558,0,0,0,0,0,0,2,0,4,4,1,0,0,7,0,1,0,0,291,10,245,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,4454,0,0,0,9,0,-326,-317,4137
13003,Artigos têxteis de uso doméstico e outros têxteis,4529,86,3,0,30,33,0,2,0,22,42,0,0,817,143,286,0,36,0,0,0,0,8,0,0,130,5,0,0,0,0,2,2,0,0,14,112,0,8,3,177,30,11,4,0,0,9,2,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,2,0,0,50,0,2077,0,0,0,2481,0,-29,2452,4529
14001,Artigos do vestuário e acessórios,11474,0,0,0,0,3,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,6,9,0,7,3,3,5,0,4,2,0,17,2,0,6,2,0,7,5,0,13,0,1,1,5,38,0,208,0,2,0,11642,0,-378,11266,11474
15001,Calçados e artefatos de couro,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,13,0,9,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,309,0,0,0,3519,0,-121,3398,3707
16001,"Produtos de madeira, exclusive móveis",450,2,10,1,0,0,0,0,0,0,1,2,0,0,0,0,56,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,7,104,0,12,0,137,29,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,8,0,404,0,0,0,78,0,-32,46,450
17001,Celulose,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,0,0,0,0,0,31,31,1166
17002,"Papel, papelão, embalagens e artefatos de papel",3653,10,3,0,0,4,6,2,64,1,60,13,31,14,10,10,64,912,139,17,5,2,7,19,16,165,71,2,0,29,33,32,14,25,17,3,62,0,4,6,34,382,14,1,0,6,5,30,143,15,3,39,200,34,139,50,38,53,162,2,58,73,47,7,91,1,40,0,3539,0,0,0,241,0,-127,114,3653
18001,Serviços de impressão e reprodução,370,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,87,0,0,1,0,0,1,31,5,11,24,30,12,15,6,55,1,24,0,13,2,0,2,0,11,8,0,363,0,0,0,17,0,-10,7,370
19911,Combustíveis para aviação,4689,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,4621,0,0,0,146,0,-78,68,4689
19912,Gasoálcool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19913,Naftas para petroquímica,8350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,8538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8566,0,0,0,0,0,-216,-216,8350
19914,Óleo combustível  ,436,2,1,0,14,3,0,7,17,0,13,3,0,1,0,0,1,22,0,8,0,25,3,0,0,1,16,8,46,3,0,0,3,0,0,0,0,0,110,0,26,21,0,88,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,-18,-18,436
19915,Diesel - biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19916,Outros produtos do refino do petróleo,21337,178,105,10,2,188,78,27,8,0,91,7,0,9,0,25,0,92,0,14191,0,306,159,65,2,250,607,469,37,26,0,134,40,29,43,1,16,37,51,24,408,891,698,11,0,20,2,152,0,1,0,0,0,0,0,32,1,15,0,0,71,19,0,2,3,1,17,0,19651,0,0,0,1869,0,-183,1686,21337
19921,Etanol e outros biocombustíveis,992,6,6,0,0,18,0,0,2,1,1,1,0,0,0,0,0,0,0,445,10,79,6,36,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,9,22,0,0,0,0,0,0,0,0,0,4,0,4,5,1,4,2,5,13,2,0,0,4,0,11,0,744,0,0,0,322,0,-74,248,992
20911,Produtos químicos inorgânicos,27322,4063,754,51,34,635,0,38,0,79,340,2,0,78,0,92,0,1093,4,0,4,15583,1712,482,90,141,711,115,266,103,0,85,3,3,0,5,82,2,97,244,1,335,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,8,0,22,31,0,136,0,27531,0,0,0,0,0,-209,-209,27322
20912,Adubos e fertilizantes,3070,2644,252,20,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,149,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081,0,0,0,0,0,-11,-11,3070
20913,Produtos químicos orgânicos,26130,0,2,0,0,1255,180,78,299,0,265,19,0,794,134,491,0,987,0,0,126,7235,6545,2696,1529,1187,0,349,208,196,0,71,4,16,0,1,157,0,9,115,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,21,0,53,38,0,0,0,25135,0,0,0,0,0,995,995,26130
20914,"Resinas, elastômeros e fibras artificiais e sintéticas",18793,49,3,0,0,559,0,0,1,2,4,0,11,1602,0,542,276,672,17,0,0,800,874,470,32,7776,792,0,99,430,85,1411,84,34,571,157,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18207,0,0,0,0,0,586,586,18793
20921,Defensivos agrícolas e desinfestantes domissanitários,16040,9574,1017,35,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4113,335,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0,498,0,0,0,0,0,0,3,0,0,15623,0,0,0,230,0,187,417,16040
20922,Produtos químicos diversos ,8142,0,10,0,752,110,73,59,367,5,1019,49,2,54,0,40,157,194,94,127,58,244,1070,376,361,422,170,153,15,68,1,41,69,26,5,14,132,97,8,74,192,640,3,0,0,13,0,0,0,0,0,0,12,10,0,4,5,0,21,0,0,93,0,260,0,3,6,0,7778,0,0,0,191,0,173,364,8142
20923,"Tintas, vernizes, esmaltes e lacas",1504,3,0,1,0,0,0,0,0,0,5,0,0,6,6,10,25,132,89,0,0,0,4,2,0,161,89,0,0,57,39,2,5,56,20,17,13,55,0,0,535,124,25,0,0,0,0,0,23,0,0,0,1,31,0,0,1,2,4,0,2,3,0,0,0,1,6,0,1555,0,0,0,0,0,-51,-51,1504
20931,"Perfumaria, sabões e artigos de limpeza",11838,0,2,0,0,17,10,3,11,3,31,6,0,7,8,0,4,8,0,7,0,9,19,383,8,4,13,3,9,70,8,1,3,1,5,0,0,0,3,9,19,352,57,2,0,16,17,15,4,10,23,4,6,0,44,20,85,19,205,0,10,25,15,8,46,26,238,0,1931,0,0,0,10073,0,-166,9907,11838
